v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,class
1.100000024,1.399999976,1.399999976,1.399999976,1.299999952,1.299999952,1.299999952,1.299999952,1.299999952,1.299999952,1.299999952,1.299999952,2,2,2,2,3,3,3,3,2,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1
72,7,1,6,198,1134.130005,0.050000001,20.30999947,55.84999847,23029.09961,0.379999995,1279.390015,51,10,8,1,14,97,38,446,22,1
190,3,1,3,600,4348.759766,0.059999999,17.05999947,254.8699951,74202.67188,1.450000048,4122.370117,129,29,28,2,14,37,292,205,100,1
37,4,1,4,126,599.1199951,0.059999999,17.19000053,34.86000061,10297.2998,0.200000003,572.0700073,28,1,6,0,7,55,526,350,120,1
31,2,1,2,111,582.5200195,0.079999998,12.25,47.54999924,7135.870117,0.189999998,396.4400024,19,0,5,0,10,78,504,314,71,1
78,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,44,1
8,1,1,1,16,50.72000122,0.360000014,2.799999952,18.11000061,142.0099945,0.02,7.889999866,5,0,1,0,41,113,560,412,1,1
24,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,71,1
143,22,20,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,92,1
73,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,51,1
83,11,10,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,53,1
12,3,1,1,37,167.3699951,0.150000006,6.869999886,24.34000015,1150.680054,0.059999999,63.93000031,8,0,2,0,7,25,174,67,100,1
48,4,1,4,129,695.6099854,0.059999999,17.35000038,40.09999847,12067.2998,0.230000004,670.4099731,29,1,16,0,17,77,553,314,120,1
68,8,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,34,1
138,22,10,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,92,1
10,1,1,1,9,27,0.5,2,13.5,54,0.01,3,2,0,6,0,41,101,422,303,1,1
250,49,34,16,1469,9673.30957,0.01,97,99.72000122,938311.0625,3.220000029,52128.39063,139,92,17,0,33,131,30,297,144,1
77,8,1,1,284,1160.839966,0.02,40.95000076,28.35000038,47536.37891,0.389999986,2640.909912,59,0,16,0,61,4,111,27,34,1
85,9,1,7,277,1714.579956,0.029999999,32.63999939,52.52999878,55961.01953,0.569999993,3108.949951,69,0,14,0,25,110,105,28,22,1
110,17,13,8,322,2069.26001,0.029999999,33.40999985,61.93999863,69127.21875,0.689999998,3840.399902,81,13,14,0,26,124,122,62,76,1
49,6,6,3,171,927.8900146,0.039999999,25.32999992,36.63000107,23506.58008,0.310000002,1305.920044,34,0,13,0,17,78,25,396,10,1
187,35,26,16,526,3296.330078,0.02,42.56000137,77.44999695,140300.0313,1.100000024,7794.450195,164,1,16,0,20,121,262,156,119,1
27,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,10,1
38,8,1,3,145,673.3599854,0.050000001,20.53000069,32.79999924,13824.90039,0.219999999,768.0499878,29,0,7,0,66,55,515,420,34,1
294,43,33,24,814,5811.589844,0.02,40.88000107,142.1499939,237606.7969,1.940000057,13200.37988,223,41,26,2,27,19,413,259,134,1
29,3,1,3,88,465.1199951,0.079999998,12.03999996,38.63000107,5599.990234,0.159999996,311.1099854,21,0,6,0,10,80,392,318,100,1
160,5,4,3,698,4862.120117,0.029999999,33.11000061,146.8600006,160969.125,1.620000005,8942.730469,123,11,23,1,21,9,346,241,138,1
94,16,9,5,218,1236.589966,0.029999999,34.52000046,35.83000183,42683.62891,0.409999996,2371.310059,66,19,6,1,21,88,62,455,73,1
48,3,1,3,157,927.3800049,0.079999998,13.09000015,70.83999634,12140.26953,0.310000002,674.460022,34,1,9,0,13,107,546,417,100,1
14,2,1,2,31,129.2700043,0.189999998,5.199999809,24.86000061,672.1900024,0.039999999,37.34000015,8,1,3,0,65,4,127,41,71,1
32,6,4,4,116,595,0.059999999,16.67000008,35.70000076,9916.610352,0.200000003,550.9199829,26,0,4,0,10,73,492,350,10,1
11,1,1,1,9,27,0.5,2,13.5,54,0.01,3,2,0,6,0,41,101,422,303,1,1
